Troise,Ruben,5,4A
Hodak,Judith,5,2B
Volk,Robin,1,2A
Smith,Vince,5,1B
Howard,Justin,1,4A
Riley,Keith,2,1B
Carter,William,2,4B
Stemmer,Kaye,5,1B
Carrillo,Scott,2,4A
Sharpe,Sidney,5,2A
Lambert,Phillip,1,1B
Seabaugh,Anna,2,3A
Munro,Robert,2,2A
Wallace,David,3,2B
Springer,James,2,1B
Morales,Cody,4,3B
Palumbo,Michelle,5,2B
Hubbard,Laverne,2,1B
Otani,Darrel,5,2A
Montano,Claudine,1,4A
Hamlin,Danielle,2,3B
Motta,Eugene,5,4B
Berrios,Todd,3,4B
Bradley,Edith,3,1B
Guthrie,Carolyn,2,3B
Dildy,Lawanda,5,2A
Braswell,Anthony,4,2B
Holmes,Stanley,3,4B
Lasley,Thomas,4,1A
Gibson,Marcella,3,4B
Taylor,Larry,3,2B
Moilanen,Erik,5,1A
Nazario,Genevieve,5,4A
Jones,Isabel,2,1B
Sanchez,Sondra,4,3A
Carlson,Beth,4,3B
Torres,Dolores,4,2A
Calle,Michelle,1,1B
Collazo,John,1,2A
Hetrick,Gerald,2,4B
Zane,William,2,3B
Smith,Max,3,2A
Peoples,Joe,4,3A
Steinberg,Robert,4,2A
Hawkin,Johnny,1,4B
Nielsen,Irma,1,2A
Ford,Rosalia,1,3B
Brewster,Amy,3,2A
Ramirez,David,4,2A
Moreland,Jeff,4,1B
Bair,Dennis,1,2A
France,Lamar,3,3B
Davis,Michael,5,3B
Blake,Orville,3,2A
Delapena,Danny,4,2A
Floyd,Francisco,1,1B
Mejia,Joshua,5,3A
Johnson,Edna,3,1A
Cole,Irene,4,4B
Hopfensperger,Dianna,4,1A
Johnson,Harris,2,2A
Montoya,Bruce,3,3B
Treadwell,Christine,1,4A
Ramirez,Brian,2,3A
Rodriguez,Tracy,4,4A
Reel,Peter,3,1A
Ortega,Dwight,1,4B
Hall,Nancy,2,2B
Buck,Stephanie,4,4A
Schermann,Yolanda,4,1B
Wood,Charles,1,1A
Reff,Marie,4,3B
Popovich,Amy,5,4A
Bates,Michael,3,4A
Dominick,Larry,2,3B
Dowker,Brian,4,3B
Adkins,Julie,4,4B
Taylor,Michelle,5,2B
Mcgowan,Peter,1,2B
Jackson,Mable,1,1A
Hall,Bennie,1,4A
Sloan,Derrick,4,2B
Henderson,Lucie,1,4A
Stephenson,James,2,1A
Page,Marjorie,3,1A
Hoffman,Tammie,1,2B
Fitzgerald,Zelda,3,2B
Hunt,Allen,3,1B
Murray,Suzann,1,2B
Holderfield,Leo,4,1A
Holbrook,Robin,5,1B
Guzman,Linda,2,4A
Azim,Tim,3,2A
Kremer,Theodore,1,1B
Varel,Kim,1,3A
Self,Andres,2,3A
Lavender,Frank,2,3A
Dixon,Carrie,3,2A
Gee,Charles,5,4A
Hunt,Susan,3,3B
Obryant,Frederick,2,4B
Boudreaux,Jeffery,3,2A
Norwood,Erma,5,2B
Kilgore,Josef,5,4A
Wright,Nicholas,1,4A
Aguirre,Merri,2,4B
Jackson,Agnes,3,1A
Cox,Jasmine,3,2A
Gates,Ryan,1,3A
Bernardo,Cheryl,5,3A
Boyd,Addie,4,4A
Garner,Yetta,2,2A
Reed,Bryce,5,3B
Marsh,Marie,4,1B
Osorio,Erica,3,2B
Emert,Jason,4,3A
Pullen,Donna,3,4B
Macleod,Irene,2,4B
Kelly,Marie,5,4B
Oliver,Thomas,2,1B
Mcgee,Robert,4,3B
Tharp,Henry,1,2B
Hoffman,Sandra,5,2A
Dennis,Edith,5,3B
Hanna,James,1,2B
Tillery,Mary,2,1A
Norgard,Kevin,2,1A
Guerra,Tracy,5,4B
Sadan,Geraldine,3,4B
Alvarez,Georgia,1,3B
Clifford,Monique,2,1B
Dalley,Santos,3,1A
Wiant,Heather,5,4B
Bryant,Harry,4,3B
Thomas,Benjamin,1,2A
Piirto,Wilmer,4,4A
Stodden,Nelson,1,4A
Lavole,Anthony,5,1B
Lucas,Donna,5,4B
Kuehnle,Amy,3,1B
Feldman,Alicia,1,4A
Alvarez,Paul,3,2A
West,Stanley,3,2B
Bledsoe,Clarence,5,3B
Robinson,Kerri,5,4A
Hunt,Arlene,3,4A
Hernandez,Edgar,4,3B
Tylman,Ray,3,1A
Semple,Jacquelyn,4,4B
Mcgehee,James,5,4B
Chun,Garrett,1,2A
Johansen,Sang,1,1A
Law,Nicolas,1,1B
Hong,Lorena,1,3A
Huggins,Maria,5,1B
Orozco,Leif,4,1A
Olson,Frederick,2,2A
Macdonald,Maurice,2,4A
Tracy,Trey,5,4B
Ackles,Holly,3,2A
English,James,4,4A
Jones,Deborah,1,4A
Davis,Anne,2,2B
Lanning,Erica,2,4A
Givens,Maria,5,2A
Rickett,Robert,4,1A
Belcher,Clifford,4,4A
Spaulding,Donnie,3,2B
Young,Larry,3,3A
Esposito,Maria,2,4B
Catalano,Calvin,5,2A
Wescott,Kevin,1,2B
Sitko,Emmanuel,2,3B
Sprinkle,Rochelle,5,4B
Goode,Eric,1,1B
Walker,Kimberley,4,2B
Hernandez,Henry,3,2A
Bolden,Gloria,3,2A
Connolly,Manuel,2,2B
Bell,Cheri,3,2A
Lusane,Stephen,3,1B
Kitchin,Deborah,4,1B
Huslander,Mildred,4,1B
Otto,Stephanie,5,4A
Diaz,Kristen,4,1B
Williams,Carlos,2,3B
Henderson,Nina,3,1B
Cleveland,Florence,1,2B
Luna,Debra,4,1A
Green,Lisa,1,3B
Loaiza,Vanessa,3,2A
Franks,Ashton,3,1A
Mcswain,Latoya,2,4B
Fucci,Terry,3,4A
Huneycutt,Robert,4,2A
Clenney,David,1,3A
Whitfield,Justin,2,1B
Valsin,Wendell,3,4B
Bartolomeo,Sharon,2,2B
Taylor,Rachel,2,3B
Osborne,Willie,5,2A
Zavala,Kenneth,3,4A
Gibson,Phillip,4,3A
Harris,Todd,1,3B
Abels,Gerald,4,2A
Ewart,Josue,4,1B
Mason,Reyes,4,2A
Fairey,Glenn,5,3B
Crane,Carrie,4,2A
Johnson,Edward,3,1A
Davis,Henry,2,2B
Griffin,Timothy,3,4A
Christo,Billy,2,1B
Marsh,George,5,3A
Gray,Tony,1,4B
Hernandez,Judith,4,1A
Larson,Mary,1,2B
Hutchins,Amy,1,4B
Collins,Diane,4,2B
Colangelo,Shirley,4,2B
Redding,Brenda,5,1A
Mcnatt,Linda,2,3A
Vandam,Timothy,4,3B
Meehan,Monty,2,1B
Mason,Nellie,2,4A
Byram,Michael,1,1A
Mcgee,Gerald,4,3B
Hester,Ronald,2,3B
Escobar,Darren,5,4B
Dennehy,Kevin,5,1B
Hunter,Henry,2,1B
Wood,Joe,2,1B
Jacobs,Bernice,5,1A
Graham,Raul,5,2A
Lowe,Jay,2,4A
Johnson,David,1,3A
Gunther,Margie,3,3A
Miller,Joshua,3,2A
Jameson,Carole,3,1A
Dean,Tamara,1,3B
Gaffigan,Violet,1,1A
Ouellette,Judy,3,3B
Bennett,Kenneth,3,3A
Wools,Kristi,4,1B
Williams,Shaun,2,2B
Hatley,Annita,3,4B
Hildebrand,Samatha,5,4B
Green,Diana,5,3B
Bloxom,Charles,3,1A
Weinstein,Eva,1,2A
Marcano,William,3,3A
Mcmillan,Kristen,1,2A
Amsden,Vicki,2,2B
Adkins,Mabel,4,2A
