Nelson,John,2,3A
Medina,Erin,4,3B
Mcnamara,Thomas,1,3A
White,Julie,2,1B
Baeza,Patricia,3,2B
Hopper,Charles,1,2B
Cockrell,Bonnie,5,1B
Larson,Harold,2,1A
Knight,Daniel,3,1A
Porter,Donna,4,3A
Williams,Donald,2,2A
Hall,James,3,4B
Mann,Alma,4,2A
Smith,Jason,1,4B
Burke,Gwendolyn,1,3B
Reynolds,Maria,5,1A
Dale,Joan,2,3A
Lindsay,Gloria,4,3B
Pringle,Robert,1,4A
Schroder,Wesley,1,3A
Curry,Candy,3,1A
Walsh,Bernard,3,2A
Ford,Oscar,5,2A
Mangon,Malcolm,2,3A
Coughlin,William,2,2B
Flowers,Jack,2,1B
Schrag,Carl,3,2B
Smith,Jesus,4,2A
Cox,Alan,3,4A
Kesler,David,5,4B
Winkelpleck,Wendy,4,4B
Couch,Lucia,4,1B
Cooper,Dorothy,3,2A
Wallace,Michele,3,1B
Morlan,Emilie,3,4A
Becker,Deborah,2,1B
Mcduffie,Laura,2,2A
Flowers,Mary,2,3B
Pollock,Dustin,2,1B
Jobe,Geraldine,2,2A
Folse,Steve,4,4B
Alford,Vernon,3,4B
Ballew,Charles,1,1B
Murray,Richard,4,4B
Jackson,Linda,3,3A
Pinero,Ricardo,5,3A
Rawlins,Marvin,3,3B
Jones,Joshua,3,3B
Sanders,Faustino,4,3A
Kohler,Eric,3,4A
